seed,side,winner,ticks,A_score,B_score,A_alive_ticks,B_alive_ticks,A_terr,B_terr
seed-1,A,A,20,285,199,20,19,447,313
seed-1,B,B,20,199,280,19,20,313,447
seed-10,A,A,20,285,199,20,19,447,313
seed-10,B,B,20,199,280,19,20,313,447
seed-2,A,A,20,285,199,20,19,447,313
seed-2,B,B,20,199,280,19,20,313,447
seed-3,A,A,20,285,199,20,19,447,313
seed-3,B,B,20,199,280,19,20,313,447
seed-4,A,A,20,285,199,20,19,447,313
seed-4,B,B,20,199,280,19,20,313,447
seed-5,A,A,20,285,199,20,19,447,313
seed-5,B,B,20,199,280,19,20,313,447
seed-6,A,A,20,285,199,20,19,447,313
seed-6,B,B,20,199,280,19,20,313,447
seed-7,A,A,20,285,199,20,19,447,313
seed-7,B,B,20,199,280,19,20,313,447
seed-8,A,A,20,285,199,20,19,447,313
seed-8,B,B,20,199,280,19,20,313,447
seed-9,A,A,20,285,199,20,19,447,313
seed-9,B,B,20,199,280,19,20,313,447
