<frozen importlib._bootstrap>:488: RuntimeWarning: Your system is avx2 capable but pygame was not built with support for it. The performance of some of your blits could be adversely affected. Consider enabling compile time detection with environment variables like PYGAME_DETECT_AVX2=1 if you are compiling without cross compilation.
pygame 2.6.1 (SDL 2.32.2, Python 3.13.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
[T00001] alive=['A', 'B'] score={'A': 1, 'B': 1}
[T00002] alive=['A', 'B'] score={'A': 2, 'B': 2}
[T00003] alive=['A', 'B'] score={'A': 3, 'B': 3}
[T00004] alive=['A', 'B'] score={'A': 4, 'B': 4}
[T00005] alive=['A', 'B'] score={'A': 5, 'B': 6}
[T00006] alive=['A', 'B'] score={'A': 6, 'B': 8}
[T00007] alive=['A', 'B'] score={'A': 7, 'B': 10}
[T00008] alive=['A', 'B'] score={'A': 8, 'B': 12}
[T00009] alive=['A', 'B'] score={'A': 9, 'B': 14}
[T00050] alive=['A', 'B'] score={'A': 50, 'B': 96}
[T00100] alive=['A', 'B'] score={'A': 100, 'B': 196}
[T00150] alive=['A', 'B'] score={'A': 150, 'B': 296}
[T00200] alive=['A', 'B'] score={'A': 200, 'B': 396}
[T00250] alive=['A', 'B'] score={'A': 250, 'B': 496}
[T00300] alive=['A', 'B'] score={'A': 300, 'B': 596}
[T00350] alive=['A', 'B'] score={'A': 350, 'B': 696}
[T00400] alive=['A', 'B'] score={'A': 400, 'B': 796}
[T00450] alive=['A', 'B'] score={'A': 450, 'B': 896}
[T00500] alive=['A', 'B'] score={'A': 500, 'B': 996}
[T00550] alive=['A', 'B'] score={'A': 550, 'B': 1096}
[T00600] alive=['A', 'B'] score={'A': 600, 'B': 1196}
[T00650] alive=['A', 'B'] score={'A': 650, 'B': 1296}
[T00700] alive=['A', 'B'] score={'A': 700, 'B': 1396}
[T00750] alive=['A', 'B'] score={'A': 750, 'B': 1496}
[T00800] alive=['A', 'B'] score={'A': 800, 'B': 1596}
[T00850] alive=['A', 'B'] score={'A': 850, 'B': 1696}
[T00900] alive=['A', 'B'] score={'A': 900, 'B': 1796}
[T00950] alive=['A', 'B'] score={'A': 950, 'B': 1896}
[T01000] alive=['A', 'B'] score={'A': 1000, 'B': 1996}
[T01050] alive=['A', 'B'] score={'A': 1050, 'B': 2096}
[T01100] alive=['A', 'B'] score={'A': 1100, 'B': 2196}
[T01150] alive=['A', 'B'] score={'A': 1150, 'B': 2296}
[T01200] alive=['A', 'B'] score={'A': 1200, 'B': 2396}
[T01250] alive=['A', 'B'] score={'A': 1250, 'B': 2496}
[T01300] alive=['A', 'B'] score={'A': 1300, 'B': 2596}
[T01350] alive=['A', 'B'] score={'A': 1350, 'B': 2696}
[T01400] alive=['A', 'B'] score={'A': 1400, 'B': 2796}
[T01450] alive=['A', 'B'] score={'A': 1450, 'B': 2896}
[T01500] alive=['A', 'B'] score={'A': 1500, 'B': 2996}
[T01550] alive=['A', 'B'] score={'A': 1550, 'B': 3096}
[T01600] alive=['A', 'B'] score={'A': 1600, 'B': 3196}
[T01650] alive=['A', 'B'] score={'A': 1650, 'B': 3296}
[T01700] alive=['A', 'B'] score={'A': 1700, 'B': 3396}
[T01750] alive=['A', 'B'] score={'A': 1750, 'B': 3496}
[T01800] alive=['A', 'B'] score={'A': 1800, 'B': 3596}
[T01850] alive=['A', 'B'] score={'A': 1850, 'B': 3696}
[T01900] alive=['A', 'B'] score={'A': 1900, 'B': 3796}
[T01950] alive=['A', 'B'] score={'A': 1950, 'B': 3896}
[T02000] alive=['A', 'B'] score={'A': 2000, 'B': 3996}
Winner: B; replay: replay.jsonl
